fields,supports,top100,top200,diff
cit2016 > 107650.00 AND citPA2018 <= 5.33 AND pubTCP2017 <= 13.90,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND h5Index <= 184.50 AND pubTJP2017 <= 30.15,"['0.00', '0.01']",0.0,0.01,-0.01
h5Index > 172.50 AND cit2016 > 115133.00 AND citPP2017 <= 8.75,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND citPA2017 > 18.97,"['0.00', '0.01']",0.0,0.01,-0.01
citPP2017 <= 10.15 AND cit2017 > 73047.50 AND authors2016 <= 6946.50,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND citPP2017 > 12.45,"['0.00', '0.01']",0.0,0.01,-0.01
cit2018 <= 35720.00 AND intCol2016 > 66.15 AND cit2016 > 78123.50,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND citPA2017 > 18.97,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND citPA2016 <= 17.89 AND pubTJP2017 <= 30.15,"['0.00', '0.01']",0.0,0.01,-0.01
authors2016 > 6535.50 AND cit2016 > 107115.50 AND acaCol2018 <= 2.20,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND citPA2017 <= 11.01 AND pub2018 <= 7036.50,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 <= 75794.50 AND intCol2016 > 66.15 AND citPP2017 > 12.45,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 <= 75794.50 AND intCol2016 > 66.15 AND citPP2018 > 6.15,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND citPA2018 > 9.22,"['0.00', '0.01']",0.0,0.01,-0.01
pub2016 <= 7543.00 AND intCol2017 > 68.15 AND citPA2016 > 26.75,"['0.00', '0.01']",0.0,0.01,-0.01
pub2017 <= 7940.00 AND intCol2016 > 66.15 AND citPP2017 > 12.45,"['0.00', '0.01']",0.0,0.01,-0.01
pub2018 <= 8184.50 AND intCol2016 > 66.15 AND citPP2017 > 12.45,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND pubPA2016 > 1.71,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 <= 75794.50 AND intCol2016 > 66.15 AND pubPA2016 > 1.71,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND citPA2018 <= 5.09 AND authors2016 <= 6946.50,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND acaCol2017 <= 5.75 AND pubTCP2016 <= 14.25,"['0.00', '0.01']",0.0,0.01,-0.01
pubTJP2018 <= 38.70 AND cit2016 > 105230.00 AND citPA2017 <= 4.43,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND citPP2017 > 12.45,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND citPA2018 <= 5.33 AND pubTJP2017 <= 30.15,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND intCol2016 > 66.15 AND cit2017 > 59145.50,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND pubTJP2017 > 47.15 AND pubPA2016 > 1.56,"['0.00', '0.01']",0.0,0.01,-0.01
authors2017 <= 7050.50 AND intCol2016 > 66.15 AND cit2017 > 59145.50,"['0.00', '0.01']",0.0,0.01,-0.01
h5Index > 172.50 AND pubPA2018 > 0.99 AND citPP2017 <= 8.75,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND intCol2016 <= 37.45 AND acaCol2017 <= 2.20,"['0.00', '0.01']",0.0,0.01,-0.01
fwCitImp2017 <= 2.05 AND cit2016 > 107115.50 AND pubTCP2018 <= 12.85,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 <= 107650.00 AND pubTJP2017 > 47.15 AND authors2017 <= 1687.50,"['0.00', '0.01']",0.0,0.01,-0.01
pub2017 <= 7940.00 AND intCol2016 > 66.15 AND intCol2017 > 78.45,"['0.00', '0.01']",0.0,0.01,-0.01
