University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Massachusetts Institute of Technology",50.7,49.8,48.9,8.7,8.3,8.9,9451,9208,9144,54983,123494,195143,2.18,2.38,2.58,27.2,30.6,32.6,51.6,54.3,55.6,5.8,13.4,21.3,9298,9273,8894,5.913422241,13.3175887,21.94097144,1.016455152,0.992990402,1.028108837,239,1
"Stanford University",42,41.7,40.9,7.2,6.7,7.3,14677,14129,13602,89118,193959,289786,2.54,2.52,2.82,26.5,29,29.5,48.6,51.1,51.2,6.1,13.7,21.3,14423,13529,12821,6.178880954,14.33653633,22.60244911,1.017610761,1.044349176,1.060915685,289,1
"Harvard University",46.1,44.5,43.7,5.8,5.6,5.7,31348,30920,30060,169151,377920,567756,2.19,2.34,2.4,24.4,28.2,29.3,45.7,48.5,50,5.4,12.2,18.9,30949,29999,29330,5.46547546,12.59775326,19.3575179,1.012892177,1.030701023,1.024889192,340,1
"University of Oxford",60.7,58.9,57.8,6.4,6.1,6.2,14890,14487,13930,72619,154285,250542,2.09,2.25,2.49,23.3,25.3,27.2,46.1,48.2,47.8,4.9,10.6,18,12816,12484,12053,5.666276529,12.35861903,20.78669211,1.161828964,1.16044537,1.155728864,254,1
"California Institute of Technology",53,52.4,53,6,5.5,5.6,4866,4548,4540,30055,65026,101056,2.05,2.31,2.36,28.9,35.4,32.8,45.3,47.7,52.6,6.2,14.3,22.3,4616,4263,4108,6.511048527,15.25357729,24.59980526,1.054159445,1.066854328,1.105160662,166,1
"Swiss Federal Institute of Technology Zurich",66.9,65.1,65.2,6.8,7.4,8,8265,7963,7713,42901,81551,127251,2,2,2.08,26.4,28.4,28.6,51.7,52.6,53.4,5.2,10.2,16.5,7623,7380,7046,5.62783681,11.050271,18.06003406,1.084218811,1.07899729,1.094663639,161,1
"University of Cambridge",62.3,59.3,59.7,6.6,6.8,7.2,11782,11422,11308,61925,130742,207876,2,2.2,2.3,24.5,27,28.8,47.2,50.1,50.5,5.3,11.4,18.4,10551,10238,9778,5.869111933,12.77026763,21.25956228,1.116671406,1.115647587,1.156473717,220,1
"University College London",59.5,57.3,55.8,6.7,5.9,5.3,16080,15486,15058,81959,162701,245812,2.19,2.21,2.21,22.5,24.5,25.7,42.4,44.7,43.7,5.1,10.5,16.3,14141,13744,12946,5.795841878,11.83796566,18.98748648,1.137119016,1.126746217,1.163139194,230,1
"Imperial College London",62.2,61.2,60.6,8.1,8.4,7.4,12293,12314,11652,64901,136960,207126,2.14,2.24,2.4,25.2,27,27,46.2,49,48.7,5.3,11.1,17.8,11223,10824,10723,5.782856634,12.6533629,19.31604961,1.095339927,1.137657058,1.086636203,223,1
"University of Chicago",42.7,40.7,41.6,5,4.4,5.3,8960,8835,8824,50478,102616,167099,2.09,2.11,2.29,25.3,26.6,28.2,47.7,50.9,51,5.6,11.6,18.9,8555,8508,8347,5.900409117,12.06111895,20.01904876,1.047340736,1.038434415,1.05714628,208,1
