fields,supports,top100,top200,diff
cit2017 > 75794.50 AND pubTJP2016 <= 29.15,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND pubTJP2018 <= 28.10,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND pubTCP2017 <= 13.90,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND pubTCP2018 <= 12.85,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND pubTCP2018 <= 12.85,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND acaCol2018 <= 2.20,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND pubTJP2017 <= 30.15,"['0.00', '0.01']",0.0,0.01,-0.01
pubTJP2017 > 47.65 AND pubTJP2016 > 56.90,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND acaCol2018 <= 2.20,"['0.00', '0.01']",0.0,0.01,-0.01
pubTJP2017 > 47.65 AND pubPA2016 > 1.56,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND pubTJP2017 <= 30.15,"['0.00', '0.01']",0.0,0.01,-0.01
cit2016 > 107650.00 AND citPP2017 <= 6.40,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND pubTCP2016 <= 13.65,"['0.00', '0.01']",0.0,0.01,-0.01
cit2017 > 75794.50 AND pubTJP2018 <= 28.10,"['0.00', '0.01']",0.0,0.01,-0.01
pub2017 > 7940.00 AND citPP2017 <= 6.90,"['0.00', '0.02']",0.0,0.02,-0.02
pub2018 > 8184.50 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND pub2018 <= 7036.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2016 <= 115133.00,"['0.00', '0.02']",0.0,0.02,-0.02
pub2018 > 8184.50 AND citPP2017 <= 6.90,"['0.00', '0.02']",0.0,0.02,-0.02
pub2018 > 8184.50 AND citPP2017 <= 6.90,"['0.00', '0.02']",0.0,0.02,-0.02
pub2018 > 8184.50 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
pub2016 > 7543.00 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
pub2017 > 7940.00 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2016 <= 115133.00,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2016 <= 115133.00,"['0.00', '0.02']",0.0,0.02,-0.02
pub2017 > 7940.00 AND cit2016 <= 104057.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2017 <= 76797.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND pub2016 <= 6489.00,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND pub2017 <= 6742.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2016 <= 115133.00,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND authors2016 <= 6347.50,"['0.01', '0.02']",0.01,0.02,-0.01
h5Index > 172.50 AND pub2017 <= 6742.50,"['0.00', '0.02']",0.0,0.02,-0.02
pub2017 > 7940.00 AND cit2016 <= 104057.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2016 <= 115133.00,"['0.00', '0.02']",0.0,0.02,-0.02
pub2018 > 8184.50 AND citPP2017 <= 6.90,"['0.00', '0.02']",0.0,0.02,-0.02
pub2017 > 7940.00 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
pub2017 > 7940.00 AND citPP2016 <= 10.30,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND pub2017 <= 6742.50,"['0.00', '0.02']",0.0,0.02,-0.02
h5Index > 172.50 AND cit2018 <= 38284.00,"['0.00', '0.02']",0.0,0.02,-0.02
pubTJP2018 <= 38.70 AND pubPA2016 <= 0.71,"['0.04', '0.00']",0.04,0.0,0.04
