@relation universities-weka.filters.unsupervised.attribute.Remove-R1

@attribute intCol2018 numeric
@attribute intCol2017 numeric
@attribute intCol2016 numeric
@attribute acaCol2018 numeric
@attribute acaCol2017 numeric
@attribute acaCol2016 numeric
@attribute pub2018 numeric
@attribute pub2017 numeric
@attribute pub2016 numeric
@attribute cit2018 numeric
@attribute cit2017 numeric
@attribute cit2016 numeric
@attribute fwCitImp2018 numeric
@attribute fwCitImp2017 numeric
@attribute fwCitImp2016 numeric
@attribute pubTCP2018 numeric
@attribute pubTCP2017 numeric
@attribute pubTCP2016 numeric
@attribute pubTJP2018 numeric
@attribute pubTJP2017 numeric
@attribute pubTJP2016 numeric
@attribute citPP2018 numeric
@attribute citPP2017 numeric
@attribute citPP2016 numeric
@attribute authors2018 numeric
@attribute authors2017 numeric
@attribute authors2016 numeric
@attribute citPA2018 numeric
@attribute citPA2017 numeric
@attribute citPA2016 numeric
@attribute pubPA2018 numeric
@attribute pubPA2017 numeric
@attribute pubPA2016 numeric
@attribute h5Index numeric
@attribute class {1,2}

@data
50.7,49.8,48.9,8.7,8.3,8.9,9451,9208,9144,54983,123494,195143,2.18,2.38,2.58,27.2,30.6,32.6,51.6,54.3,55.6,5.8,13.4,21.3,9298,9273,8894,5.913422,13.317589,21.940971,1.016455,0.99299,1.028109,239,1
42,41.7,40.9,7.2,6.7,7.3,14677,14129,13602,89118,193959,289786,2.54,2.52,2.82,26.5,29,29.5,48.6,51.1,51.2,6.1,13.7,21.3,14423,13529,12821,6.178881,14.336536,22.602449,1.017611,1.044349,1.060916,289,1
46.1,44.5,43.7,5.8,5.6,5.7,31348,30920,30060,169151,377920,567756,2.19,2.34,2.4,24.4,28.2,29.3,45.7,48.5,50,5.4,12.2,18.9,30949,29999,29330,5.465475,12.597753,19.357518,1.012892,1.030701,1.024889,340,1
60.7,58.9,57.8,6.4,6.1,6.2,14890,14487,13930,72619,154285,250542,2.09,2.25,2.49,23.3,25.3,27.2,46.1,48.2,47.8,4.9,10.6,18,12816,12484,12053,5.666277,12.358619,20.786692,1.161829,1.160445,1.155729,254,1
53,52.4,53,6,5.5,5.6,4866,4548,4540,30055,65026,101056,2.05,2.31,2.36,28.9,35.4,32.8,45.3,47.7,52.6,6.2,14.3,22.3,4616,4263,4108,6.511049,15.253577,24.599805,1.054159,1.066854,1.105161,166,1
66.9,65.1,65.2,6.8,7.4,8,8265,7963,7713,42901,81551,127251,2,2,2.08,26.4,28.4,28.6,51.7,52.6,53.4,5.2,10.2,16.5,7623,7380,7046,5.627837,11.050271,18.060034,1.084219,1.078997,1.094664,161,1
62.3,59.3,59.7,6.6,6.8,7.2,11782,11422,11308,61925,130742,207876,2,2.2,2.3,24.5,27,28.8,47.2,50.1,50.5,5.3,11.4,18.4,10551,10238,9778,5.869112,12.770268,21.259562,1.116671,1.115648,1.156474,220,1
59.5,57.3,55.8,6.7,5.9,5.3,16080,15486,15058,81959,162701,245812,2.19,2.21,2.21,22.5,24.5,25.7,42.4,44.7,43.7,5.1,10.5,16.3,14141,13744,12946,5.795842,11.837966,18.987486,1.137119,1.126746,1.163139,230,1
62.2,61.2,60.6,8.1,8.4,7.4,12293,12314,11652,64901,136960,207126,2.14,2.24,2.4,25.2,27,27,46.2,49,48.7,5.3,11.1,17.8,11223,10824,10723,5.782857,12.653363,19.31605,1.09534,1.137657,1.086636,223,1
42.7,40.7,41.6,5,4.4,5.3,8960,8835,8824,50478,102616,167099,2.09,2.11,2.29,25.3,26.6,28.2,47.7,50.9,51,5.6,11.6,18.9,8555,8508,8347,5.900409,12.061119,20.019049,1.047341,1.038434,1.057146,208,1
